lane,module,symbol,kind,lines,verdict,evidence,callers_src,callers_live,callers_dead_scripts,callers_oneshot,callers_tests,traced,audit
model,training/training_utils,validate_one_epoch,function,,refactor,"Public and exported, sole caller fit_model. Always computes f1 (compute_f1 is never passed) and the result is unread.",training/__init__[import],,,,,reached,03
model,training/training_utils,fit_model,function,,keep,"The training loop; called from tuning, benchmarks validation, the notebooks and the golden test.",training/__init__[import] tuning/optuna_tuning[call+import],sc:validate_valendin_lstm[call+import] nb:Data_integration_LSTM_v2[import] nb:Data_integration_TRANSFORMER_v2[import] nb:Pareto_Datasets[import] nb:Study[import],,sc:verify_transformer_training[call+import] sc:trace_golden_reachability[call+import],t:test_golden_end_to_end[call+import] t:test_imports[import],reached,03
model,training/training_utils,refit_full_calibration,function,,keep,Sole caller experiments.refit_best_trial:290 — the warm-start refit that produces every prediction_source='refit' weight set. Its docstring says n_epochs is 'typically the best_epoch found by fit_model' while its only caller deliberately uses DEFAULT_REFIT_EPOCHS and explains why. Untested.,experiments/experiment_utils[call+import] training/__init__[import],,,,,unreached,03
experiment,experiments/__init__,(module),module,27,refactor,"27 lines whose docstring is wrong about its own dependencies: it says the helpers 'import from panelclv.models and panelclv.tuning' (:7-8) when experiment_utils imports panelclv.training and panelclv.tuning and never panelclv.models. Its subpackage name is also proscribed vocabulary — CONTEXT.md's Study entry lists '_Avoid_: run, experiment, sweep' (ticket 09).",studies/runner,nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:verify_transformer_training sc:trace_golden_reachability,t:test_golden_end_to_end t:test_imports,not in trace,04
experiment,experiments/experiment_utils,(module),module,311,refactor,"311 lines, 5 functions about one run; the layering studies->experiments->tuning is one-way and cycle-free (audit 04 ruling 1: sound in direction, wrong at the seam). Reaches through two private tuning names (_build_model_for, _build_inference_model_for at :28-33) because the model registry is misplaced, not because the layering is. :216 discards the forecaster half of _build_inference_model_for's return and studies/runner:130 re-derives it from _FORECASTERS. Annotates with Path in two signatures without importing it (harmless under `from __future__ import annotations`; typing.get_type_hints raises). Carries one of the three impossible _cached_mask pops (:223), the only one claiming a legacy reason the 108 stored checkpoints contradict. Tested only via make_loaders in the golden test.",experiments/__init__,,,,,2/7 symbols traced,04
experiment,experiments/experiment_utils,DataBuilder,constant,,refactor,"NEW FINDING, visible only in the merge (dup D1): the same type alias is defined twice — here (:41, precisely typed `tuple[DataLoader, DataLoader, dict]`) and at tuning/optuna_tuning.py:116 (loosely typed `tuple[Any, Any, dict]`). Neither imports the other; each annotates its own side of the one loader protocol the two modules also describe in prose three times. Audit 04 found the prose duplication and missed the code one.",tuning/optuna_tuning[name],,,,,n/a (class/constant not traced),none
experiment,experiments/experiment_utils,DEFAULT_REFIT_EPOCHS,constant,,keep,"Intra-module default for the warm-start refit, documented against the Valendin paper's 'a few epochs'.",,,,,,n/a (class/constant not traced),04
experiment,experiments/experiment_utils,make_loaders,function,,keep,"The loader factory; called by the tuning closure, the golden test and the notebooks.",experiments/__init__[import],,,sc:trace_golden_reachability[call+import],t:test_golden_end_to_end[call+import],reached,04
experiment,experiments/experiment_utils,make_refit_loader,function,,refactor,"Public and exported, sole caller refit_best_trial:290 — over-exposed.",experiments/__init__[import],,,,,unreached,04
experiment,experiments/experiment_utils,make_data_builder,function,,keep,The Optuna data closure; called by studies/runner and three live notebooks.,experiments/__init__[import] studies/runner[call+import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[import] nb:Study[call+import],,sc:verify_transformer_training[call+import],t:test_imports[import],unreached,04
experiment,experiments/experiment_utils,build_inference_from_trial,function,,keep,"Rebuilds the winning trial's inference model; called by studies/runner:173 and the notebooks. Note it stays alive through the notebooks and refit_best_trial:309, not through runner's prediction_source='checkpoint' branch, which no caller ever selects.",experiments/__init__[import] studies/runner[call+import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[import] nb:Study[import],,,t:test_imports[import],unreached,04
experiment,experiments/experiment_utils,refit_best_trial,function,,keep,The warm-start refit entry; called by studies/runner and three live notebooks.,experiments/__init__[import] studies/runner[call+import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[import] nb:Study[call+import],,,,unreached,04
experiment,tuning/__init__,(module),module,26,refactor,"26 lines exporting six names, of which only run_optuna_study is imported through the package path by anything — experiments reaches select_features/select_features_for_trial via the module path instead, so the other five re-exports have no consumer. Also states the loader protocol a third time (after optuna_tuning's and experiment_utils' docstrings).",experiments/experiment_utils studies/runner,nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:verify_transformer_training,t:test_imports t:test_model_registration,not in trace,04
experiment,tuning/optuna_tuning,(module),module,1240,refactor,"1240 lines, the largest module in the package and the one with the most unexercised surface: run_optuna_study has 21 parameters and 8 are set by nothing (direction — always 'minimize', and its only other value would silently invert the search; rollout_horizon; rollout_seed; rollout_mape_clip; rollout_min_actual_for_mape; rollout_weight_rmse/mape/bias, all six plumbed through four layers to reach defaults nobody overrides). Holds four of the seven model-type enumerations (dup D11). Untested apart from the registry helpers — nothing tests _suggest_param's spec mini-language, _merge_specs, select_features, objective, or run_optuna_study's keep_only_best_checkpoint deletion loop, which deletes files. CWD-relative defaults ('./optuna_summaries', './checkpoints').",experiments/experiment_utils tuning/__init__,,,sc:verify_transformer_training,t:test_model_registration,0/22 symbols traced,04
experiment,tuning/optuna_tuning,DataBuilder,constant,,refactor,"The second definition of the alias (see experiments/experiment_utils.DataBuilder, dup D1); typed `tuple[Any, Any, dict[str, Any]]` where the experiments copy names DataLoader. One of the two should import the other.",experiments/experiment_utils[name],,,,,n/a (class/constant not traced),none
experiment,tuning/optuna_tuning,validate_removable_features,function,,refactor,"Public, sole caller run_optuna_study:1128, plus a tuning/__init__ re-export with no consumer. It validates a parameter run_study_suite never passes, so on the production path it guards nothing.",tuning/__init__[import],,,,,unreached,04
experiment,tuning/optuna_tuning,suggest_covariate_selection,function,,refactor,"Public, sole caller objective:860, not exported. Reachable only when removable_features is passed — which run_study_suite never does (StudySuiteConfig has no field for it), so the entire covariate-subset search is reachable from exactly three notebook cells (LSTM #17/#19, TRANSFORMER #15) and from nothing else.",,,,,,unreached,04
experiment,tuning/optuna_tuning,select_features,function,,keep,"Called by experiment_utils (via the module path). Dead branch inside it: `embedded_cols=kept_embedded if kept_embedded else None` (:240) — the target is never droppable and CLAUDE.md's invariant puts it in embedded_cols, so the None branch cannot fire. Half its stated purpose ('Optuna proposes a feature subset') is unreachable from the production path.",experiments/experiment_utils[call+import] tuning/__init__[import],,,,t:test_imports[import],unreached,04
experiment,tuning/optuna_tuning,select_features_for_trial,function,,keep,Called by experiment_utils; the per-trial wrapper.,experiments/experiment_utils[call+import] tuning/__init__[import],,,,,unreached,04
experiment,tuning/optuna_tuning,LSTM_SEARCH_DEFAULTS,constant,,refactor,"No audit ruled on it by name. Mechanical: public, referenced only intra-module (_SEARCH_DEFAULTS:339, suggest_lstm_params:443) and not exported by tuning/__init__ — over-exposed, unlike its VALENDIN sibling which a test pins.",,,,,,n/a (class/constant not traced),none
experiment,tuning/optuna_tuning,TRANSFORMER_SEARCH_DEFAULTS,constant,,refactor,"Same as LSTM_SEARCH_DEFAULTS: public, intra-module only, not exported, no audit ruled.",,,,,,n/a (class/constant not traced),none
experiment,tuning/optuna_tuning,VALENDIN_SEARCH_DEFAULTS,constant,,keep,"Public and asserted by tests/test_model_registration.py:141, which pins that the search space excludes memory_units/dense_units so the reference implementation cannot be silently unfrozen (ADR-0004).",,,,,t:test_model_registration[attr],n/a (class/constant not traced),04
experiment,tuning/optuna_tuning,validate_data_info,function,,refactor,"Public, sole caller run_optuna_study:1120, plus a re-export with no consumer and a test — over-exposed.",tuning/__init__[import],,,,t:test_model_registration[call],unreached,04
experiment,tuning/optuna_tuning,suggest_lstm_params,function,,keep,Reached through the _SUGGESTERS table; CLAUDE.md names this the documented extension point for a new model.,,,,,,unreached,04
experiment,tuning/optuna_tuning,suggest_valendin_params,function,,keep,"Same: _SUGGESTERS entry, documented extension point.",,,,,,unreached,04
experiment,tuning/optuna_tuning,suggest_transformer_params,function,,keep,"Same: _SUGGESTERS entry, documented extension point.",,,,,,unreached,04
experiment,tuning/optuna_tuning,ROLLOUT_METRIC,constant,,refactor,"Public, intra-module only. Part of the ADR-0003 rollout-selection path that run_study_suite cannot reach — alive only through three notebook cells.",,,,,,n/a (class/constant not traced),04
experiment,tuning/optuna_tuning,weekly_aggregate_rollout_metrics,function,,refactor,"The metric-authority breach and the lane's highest-value refactor. Recomputes all three headline numbers rather than delegating, and two of the three disagree with compute_forecast_metrics on the same (N,T) arrays: rmse 0.1237 (per-cell) vs 7.7207 (customer-summed curve) — 62x apart under one name; mape 9.5909 (sum|d|/sum actual) vs 9.6204 (mean of per-week %, masked at 5.0, clipped at 300) — a different estimator; bias identical (duplicated formula). These names land on disk as trial user-attrs in every <study>_trials.csv. Its five tuning knobs are all never passed and its `rollout_mae` return key has no reader. Sole caller _validation_rollout_score:815 plus an unused re-export.",tuning/__init__[import],,,,,unreached,04
experiment,tuning/optuna_tuning,objective,function,,refactor,"Public, sole caller run_optuna_study:1174, not even exported by tuning/__init__ — over-exposed.",,,,,,unreached,04
experiment,tuning/optuna_tuning,run_optuna_study,function,,keep,The tuning entry point: studies/runner:112-126 and all four live notebooks. Refactor pressure is its 21-parameter surface (8 unexercised) and the fact that its two most consequential options — selection_metric='rollout_composite' and removable_features — are unreachable from run_study_suite.,studies/runner[call+import] tuning/__init__[import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[import] nb:Study[call+import],,,t:test_imports[import] t:test_model_registration[attr],unreached,04
experiment,evaluation/__init__,(module),module,50,refactor,"50 lines documenting 2 of its 3 modules (forecast_run absent from the docstring while ForecastRun is imported at :33 and exported at :49 — the same shape as data_preparation/__init__'s omission). Its claim that 'everything here delegates to compute_forecast_metrics' (:9-13) is true as scoped but CLAUDE.md reads it package-wide, which tuning breaks (C2). Exports a dead class and five symbols with no runnable caller.",models/monte_carlo_forecasting studies/analysis studies/runner,nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,sc:main_plot sc:main_plot_covar,,t:test_imports t:test_studies_analysis,not in trace,04
experiment,evaluation/plot_utils,(module),module,609,refactor,"609 lines and the root cause of the ADR-0002 breach: save_predictions_to_csv — pure prediction I/O, the widest-used symbol in evaluation/ — lives inside a plotting module, so models/monte_carlo_forecasting has to import it lazily to dodge a cycle. Top-level `import torch` (:31), so importing evaluation loads torch. Holds five symbols whose only call sites are the two dead plot scripts, two of which consume a Sequence[pd.DataFrame] shape nothing in src/ has produced since prepare_dataset changed. Also carries the second period-length table (_PERIOD_IN_DAYS, monthly=30.4368) and the third name for the forecast entry point (_mc_forecast, :37).",evaluation/__init__ evaluation/forecast_run evaluation/segment_analysis models/monte_carlo_forecasting studies/analysis studies/runner,nb:Data_integration_LSTM_v2 nb:Study,sc:main_plot_covar,,t:test_studies_analysis,0/12 symbols traced,04
experiment,evaluation/plot_utils,save_predictions_to_csv,function,,refactor,"Alive and central — but move it out of the plotting module and the ADR-0002 breach closes. Live src callers: models/monte_carlo_forecasting:324, studies/runner:137-142/:205-210, studies/analysis:212 (plus evaluation/forecast_run, itself dead). Audit 04 credits it with '6 modules and 5 entry points'; verified by AST, the three live-notebook references are imports never called and both plot scripts are dead, so its live entry-point call count is 0 — see C3. Emits `week_{i}` column names whatever the frequency (on-disk floor).",evaluation/__init__[import] evaluation/forecast_run[call+import] models/monte_carlo_forecasting[call+import] studies/analysis[call+import] studies/runner[call+import],nb:Data_integration_LSTM_v2[import] nb:Pareto_Datasets[import] nb:Study[import],sc:main_plot[call+import] sc:main_plot_covar[call+import],,t:test_studies_analysis[call+import],unreached,03/04
experiment,evaluation/plot_utils,load_predictions_from_csv,function,,refactor,"Alive (evaluation/segment_analysis, studies/analysis, tests) and belongs with save_predictions_to_csv in a prediction-I/O module rather than a plotting one. Its id_col_candidates sniffing is what keeps the archive readable despite the Id/customer_id header split; never overridden. holdout_length is set only by the two dead plot scripts.",evaluation/__init__[import] evaluation/segment_analysis[call+import] studies/analysis[call+import],,sc:main_plot[call+import] sc:main_plot_covar[call+import],,t:test_studies_analysis[call+import],unreached,04
experiment,evaluation/plot_utils,holdout_actuals_NT,function,,conditional-10,"No runnable caller: sole call site is scripts/main_plot_covar.py:173, which raises TypeError before reaching it. Worse than caller-less — its parameter type is Sequence[pd.DataFrame] (a list of per-customer frames) and nothing in src/panelclv produces that shape any more; prepare_dataset returns (N,T,F) ndarrays and one holdout_panel frame. So the figures it once produced are not reproducible whether it stays or goes, and the thesis carve-out cannot restore them. Ticket 10 rules on the scripts; ticket 12 on the figures.",evaluation/__init__[import],,sc:main_plot_covar[call+import],,,unreached,04
experiment,evaluation/plot_utils,weekly_actuals,function,,conditional-10,"Same shape problem as holdout_actuals_NT (Sequence[pd.DataFrame], no producer). Call sites: main_plot.py:244-245 and main_plot_covar.py:178, both dead; imported by three live notebooks and called by none (verified by AST). Its 1-D (T_HOLD,) return is exactly what main_plot.py wrongly feeds to metrics_table.",evaluation/__init__[import],nb:Data_integration_LSTM_v2[import] nb:Pareto_Datasets[import] nb:Study[import],sc:main_plot[call+import] sc:main_plot_covar[call+import],,,unreached,04
experiment,evaluation/plot_utils,weekly_aggregate_predictions,function,,refactor,"Imported by all four live notebooks, called by none (verified). Only callers are intra-module (plot_weekly_aggregated:417, alignment_check:551). Its three-shape dispatch (:210-221) includes (S,N,T,1) and (N,T,1) forms no producer in the package emits — reached only because Study.ipynb #37 and LSTM #24 append a dummy axis by hand to select the ribbon branch, i.e. the caller compensating for the dispatch.",evaluation/__init__[import],nb:Data_integration_LSTM_v2[import] nb:Data_integration_TRANSFORMER_v2[import] nb:Pareto_Datasets[import] nb:Study[import],,,,unreached,04
experiment,evaluation/plot_utils,pareto_forecast,function,,refactor,"Live (Study.ipynb #32 calls it with all four dump arguments; studies/analysis calls it). Refactor: :331-348 inlines a near-copy of _save_predictions_run's writer under a different folder scheme ({tag}_{ts}/ vs {tag}_n{n}_seed{seed}_{ts}/), and both schemes sit side by side in FOR_ANALYSIS/ (dup D6). Its `actual` key has no reader (deliberate — it mirrors mc_forecast's contract). Local tz-naive datetime.now() folder name.",evaluation/__init__[import] studies/analysis[call+import],nb:Study[call+import],,,,unreached,03/04
experiment,evaluation/plot_utils,plot_weekly_aggregated,function,,keep,"Called by three live notebooks; 2 stored figures (Study #37, LSTM #24) — carve-out as well as callers. Refactor notes: figsize never passed, save_path only from the dead scripts, and its pareto_benchmark=True path is one of two mechanisms for putting the benchmark on a plot (dup D14).",evaluation/__init__[import] studies/analysis[call+import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[import] nb:Study[call+import],sc:main_plot[call+import] sc:main_plot_covar[call+import],,t:test_imports[import],unreached,04
experiment,evaluation/plot_utils,metrics_table,function,,keep,Called by the LSTM and Study notebooks; delegates to compute_forecast_metrics (:513) and returns exactly its three keys. Rejects non-2-D actuals with the error message that names main_plot.py's exact mistake. Imported but not called in the TRANSFORMER notebook.,evaluation/__init__[import],nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[import] nb:Pareto_Datasets[import] nb:Study[call+import],sc:main_plot[call+import] sc:main_plot_covar[call+import],,t:test_imports[import],unreached,04
experiment,evaluation/plot_utils,alignment_check,function,,kill-candidate,"Imported by three live notebooks and called by none (verified by AST); no other caller anywhere; max_lag never set. Also computes total_actual/total_pred, whose difference is the aggregate-bias concept — a fourth site for it, inside a function nothing calls. Kill unless ticket 06 adopts the reading that a notebook import is a caller (C8).",evaluation/__init__[import],nb:Data_integration_LSTM_v2[import] nb:Pareto_Datasets[import] nb:Study[import],,,,unreached,04
experiment,evaluation/plot_utils,forecast_from_checkpoint,function,,conditional-10,"Both call sites are the dead plot scripts (main_plot.py:119,:155 and main_plot_covar.py:100, whose call passes six keywords it does not accept). Additionally it is the wrong-stepper vector: it unconditionally calls _mc_forecast (the recurrent stepper) for whatever model the factory built, and main_plot_covar.py still passes a model_type='transformer' argument the signature no longer has — the fossil of a dispatch that was dropped. Verified: main_plot.py cannot reach it at all, since __main__ (:276-277) dies in the _load_dataset stub first. See conflict C1.",evaluation/__init__[import],,sc:main_plot[call+import] sc:main_plot_covar[call+import],,,unreached,03/04
experiment,evaluation/segment_analysis,(module),module,200,refactor,"200 lines, zero test coverage direct or indirect. Owns the customer-group vocabulary (_GROUP_PREDICATES) that studies/analysis hardcodes three more times (dup D13); carries the second customer-id->row resolver (_resolve_rows, no dedup) against analysis._rows_for_ids (dedups, preserves order); and _load_aligned:96-112 silently REORDERS a prediction file to data['ids'] where analysis._study_metrics_from_data:894-898 and plot_suite_forecast:514-519 raise ValueError on the same condition — two contradictory misalignment policies called on the same files by the same notebook (dup D15).",evaluation/__init__,,,,,0/8 symbols traced,04
experiment,evaluation/segment_analysis,aggregate_bias,function,,refactor,"Public, sole caller group_metrics_table:191, and its own docstring says 'Kept here because this is its only caller'. The legitimate exception to the metric authority (raw-count bias for a group whose actual total is zero), documented at evaluation/__init__.py:11-13. Over-exposed, not dead.",evaluation/__init__[import],,,,,unreached,04
experiment,evaluation/segment_analysis,assign_customer_groups,function,,keep,"Called by studies/analysis and Study.ipynb. Note groups= can only ever narrow the two _GROUP_PREDICATES entries, never add.",evaluation/__init__[import] studies/analysis[call+import],nb:Study[call+import],,,,unreached,04
experiment,evaluation/segment_analysis,group_metrics_table,function,,keep,Called by studies/analysis and Study.ipynb ×4; delegates to compute_forecast_metrics (:186) and renames mape_aggregate_style to mape on the way out (dup D8).,evaluation/__init__[import] studies/analysis[call+import],nb:Study[call+import],,,,unreached,04
experiment,evaluation/forecast_run,(module),module,111,kill,"111 lines, genuinely dead: grepping ForecastRun over src/, scripts/, tests/ and all notebooks (live and archived) returns only its own module and evaluation/__init__.py:33,:49. It also defines a fifth on-disk prediction layout (<root>/<config_name>/<n>/manifest.json + <slug>/predictions.csv) with no writer and no reader — `find . -name manifest.json` returns nothing, so no archived study is in that format and the on-disk floor does not protect it. Zero tests.",evaluation/__init__,,,,,0/9 symbols traced,04
experiment,evaluation/forecast_run,ForecastRun,class,,kill,Zero callers anywhere (see module row). The class and its six public methods are one unit.,"evaluation/__init__[import, export only]",,,,,n/a (class/constant not traced),04
experiment,evaluation/forecast_run,ForecastRun.new,method,,kill,Zero callers.,,,,,,unreached,04
experiment,evaluation/forecast_run,ForecastRun.open,method,,kill,Zero callers.,,,,,,unreached,04
experiment,evaluation/forecast_run,ForecastRun.path,method,,kill,Zero callers.,,,,,,unreached,04
experiment,evaluation/forecast_run,ForecastRun.save_config,method,,kill,Zero callers.,,,,,,unreached,04
experiment,evaluation/forecast_run,ForecastRun.save_predictions,method,,kill,"Zero callers; the writer of the fifth prediction layout, which nothing reads.",,,,,,unreached,04
experiment,evaluation/forecast_run,ForecastRun.predictions,method,,kill,Zero callers.,,,,,,unreached,04
experiment,studies/__init__,(module),module,73,refactor,"73 lines. Exports group_metrics_suite_distribution, the only export with zero importers anywhere. Its eager `from .runner import run_study_suite` (:29) makes importing any studies submodule pull optuna, panelclv.models and panelclv.benchmarks, which is why analysis.py's eleven deferred imports buy nothing — measured: `import panelclv.studies.analysis` -> torch True, optuna True, matplotlib True, 5.06 s (vs 0.28 s for data_preparation.dynamic_panel_dataset).",,sc:run_studies nb:Pareto_Datasets nb:Study,,sc:make_grid_figures,t:test_model_registration t:test_studies_analysis t:test_studies_layout,not in trace,04
experiment,studies/config,(module),module,175,refactor,"175 lines. StudySuiteConfig.validate() does not cover the path it guards: REQUIRED_DATA_KEYS is ('ids','holdout','target_idx','train_panel','T_HOLD'), two of which are Pareto-only, and a dict with exactly those five keys passes validate() then dies in make_loaders with KeyError: data['val_start_idx'] is missing — against the docstring's 'fail loudly before any training' promise. Has no field for selection_metric or removable_features, which is why two of the package's own decisions are unreachable from the suite. refit_kwargs and ModelSpec.pareto_kwargs are never set by anything.",studies/__init__ studies/analysis studies/runner,,,,t:test_model_registration,0/3 symbols traced,04
experiment,studies/config,NEURAL_MODEL_TYPES,constant,,keep,"One of the seven model-type enumerations (dup D11), pinned into agreement with the tuning registry by tests/test_model_registration.py. Now imported by studies/analysis after the charting fix that removed analysis._NEURAL_TYPES.",studies/analysis[import],,,,t:test_model_registration[import],n/a (class/constant not traced),04
experiment,studies/config,VALID_MODEL_TYPES,constant,,keep,CLAUDE.md's registration point 1 of 3; test-pinned. Read only by StudySuiteConfig.validate:153 and the registration test.,,,,,t:test_model_registration[import],n/a (class/constant not traced),04
experiment,studies/config,VALID_PREDICTION_SOURCES,constant,,refactor,"Public, read only by validate. One of its two values ('checkpoint') is never chosen by any caller, so runner._rebuild_winner:173's branch for it is dead.",,,,,,n/a (class/constant not traced),04
experiment,studies/config,REQUIRED_DATA_KEYS,constant,,refactor,"Public, read only by validate, and it lists the wrong keys — see the module row.",,,,,,n/a (class/constant not traced),04
experiment,studies/config,ModelSpec,class,,keep,"The suite's per-model spec; constructed by run_studies.py and two notebooks. pareto_kwargs is never set, so the documented MCMC knobs are unreachable through a suite.",studies/__init__[import] studies/runner[import],sc:run_studies[call+import] nb:Pareto_Datasets[call+import] nb:Study[call+import],,,t:test_studies_layout[call+import],n/a (class/constant not traced),04
experiment,studies/config,ModelSpec.is_neural,method,,keep,No audit ruled on it by name. Mechanical: read by studies/runner.py:75 and :286 to route a spec to the neural or Pareto path.,"studies/runner[read :75,:286]",,,,,unreached,none
experiment,studies/config,StudySuiteConfig,class,,keep,"The suite config; constructed by run_studies.py and two notebooks. Missing fields are the finding, not the class.",studies/__init__[import] studies/runner[import],sc:run_studies[call+import] nb:Pareto_Datasets[call+import] nb:Study[call+import],,,t:test_studies_layout[call+import],n/a (class/constant not traced),04
experiment,studies/config,StudySuiteConfig.validate,method,,refactor,Sole caller runner; validates two keys the neural path never reads and not the four it does (see module row).,studies/runner[call],,,,t:test_studies_layout[call],unreached,04
experiment,studies/layout,(module),module,121,keep,"121 lines and the authority for the archive layout the on-disk floor protects; the best-tested module in the lane relative to its size (tests/test_studies_layout.py). Refactor note: model_dirs returns three keys of which two ('predictions_dir','optuna_dir') have no reader outside its own test — the dict's real job is the mkdir side effect.",,,,,t:test_studies_layout,0/6 symbols traced,04
experiment,studies/layout,create_suite_root,function,,keep,No audit ruled on it by name. Mechanical: sole src caller runner.py:68; both its overwrite paths are covered by tests/test_studies_layout.py.,studies/runner[call],,,,t:test_studies_layout[call],unreached,none
experiment,studies/layout,model_dirs,function,,refactor,"Sole src caller runner.py:92-93/:186-187, which reads only 'model_dir'; the other two returned keys have no reader (their mkdir side effect is the point). make_optuna is genuinely exercised in both values.",studies/runner[call],,,,t:test_studies_layout[call],unreached,04
experiment,studies/layout,study_dir,function,,refactor,"Sole src caller runner. Name collision inside one subpackage: layout.study_dir(model_dir, index) is an Optuna-study folder while pnbd_grid.collect_grid_results(study_dir=...) is a folder of generated datasets, and studies/config.study_name names the whole suite — ticket 09's material.",studies/runner[call],,,,t:test_studies_layout[call],unreached,04
experiment,studies/layout,prediction_path,function,,keep,The archive prediction layout (<Model>/Predictions/Prediction_{i}.csv) — floor item 3. Sole caller runner.,studies/runner[call],,,,t:test_studies_layout[call],unreached,04
experiment,studies/layout,jsonify,function,,refactor,"Public, sole caller write_json:120 plus tests — over-exposed.",,,,,t:test_studies_layout[call],unreached,04
experiment,studies/layout,write_json,function,,keep,Writes the suite/model config.json the archive readers depend on.,studies/runner[call],,,,t:test_studies_layout[call],unreached,04
experiment,studies/runner,(module),module,295,refactor,"295 lines, ZERO test coverage direct or indirect, and it is the orchestrator that costs GPU-hours to re-run — the format Studies/ is written in is pinned by no test. It passes neither selection_metric nor removable_features to run_optuna_study (:112-126), so ADR-0003's rollout selection and the whole covariate search are unreachable from the production path. Writes a per-model metrics.csv (:157,:225) that nothing in src/ or any entry point reads (results.csv is a verified superset). _suite_record writes 11 of 13 top-level fields nobody reads, and _id_col:100 reads data_summary['id_col'], a key _suite_record never writes. Uses two different fallbacks for the same key in one function ('Id' at :193, 'customer_id' at :209). Carries the first period-length table (_PERIOD_DAYS, monthly=30.0).",studies/__init__,,,,t:test_model_registration,0/6 symbols traced,04
experiment,studies/runner,run_study_suite,function,,refactor,"The production entry point (run_studies.py, Pareto_Datasets.ipynb, Study.ipynb) — keep the function, fix what it cannot express: no selection_metric, no removable_features, and prediction_source='checkpoint' never chosen by any caller.",studies/__init__[import],sc:run_studies[call+import] nb:Pareto_Datasets[call+import] nb:Study[call+import],,,,unreached,04
experiment,studies/analysis,(module),module,1195,refactor,"1195 lines splitting four ways by measurement: read-side library (~300, genuinely shared by 2-4 of the public groups — a real seam), figure scaffolding (:376-609, 233 lines incl. a 204-line plot_suite_forecast), metric tables (:612-1063, 451), notebook description (:1066-1195, 129). Eleven deferred imports that buy nothing (studies/__init__ pulls torch first anyway — measured). Four separate re-globs of the same Prediction_*.csv set, so plot_suite_forecast(confidence_interval=True) reads each file three times. Two of the three Student-t CI copies live here. Its read paths write into the archive (aggregate_suite_predictions) and _id_col's fallback contradicts the files it just read.",studies/__init__,,,,t:test_model_registration t:test_studies_analysis,0/25 symbols traced,04
experiment,studies/analysis,load_model_predictions,function,,keep,The shared read-side loader; called by Study.ipynb ×7 and four analysis entry points; well covered by tests/test_studies_analysis.py.,studies/__init__[import],,,,t:test_studies_analysis[call+import],unreached,04
experiment,studies/analysis,aggregate_suite_predictions,function,,refactor,"Live (Study.ipynb, plot_suite_forecast:542-543, _suite_prediction_paths:629) but it is a WRITE inside the read side: verified by running it, group_metrics_suite_table(root, data=data) created two aggregated_*.csv files inside an archived suite the floor protects — and headed customer_id next to Prediction_*.csv files headed Id, which has already happened on disk in Studies/cross_entropy_cfg_2y_Train_1yPred_NoCov_V1_10Studies_100_simulations/. Also the fourth of the five prediction layouts (dup D6).",studies/__init__[import],,,,t:test_studies_analysis[call+import],unreached,04
experiment,studies/analysis,plot_suite_forecast,function,,keep,"11 stored figures in Study.ipynb (cells 18, 53, 54, 57-61, 65, 69, 70) — carve-out and callers. Refactor: 204 lines; 6 of its 13 parameters never passed; `data=data` handed to plot_weekly_aggregated is dead (that argument is read only when pareto_benchmark=True, which this function never sets because it pre-computes the benchmark itself); one of the two Pareto-on-a-plot mechanisms. Where it lives is ticket 12's call.",studies/__init__[import],nb:Study[call+import],,,t:test_studies_analysis[call+import],unreached,04
experiment,studies/analysis,group_metrics_suite_table,function,,keep,Called twice from Study.ipynb; the point-estimate sibling of the dead distribution variant.,studies/__init__[import],nb:Study[call+import],,,,unreached,04
experiment,studies/analysis,group_metrics_suite_distribution,function,,kill,"Dead by the map's rule: exported at studies/__init__.py:35 with no importer in src/, no entry point, no test — the only studies export with zero importers. It works (audit 04 ran it against an archived suite and got a correct (group,model)x(metric,stat) frame). Tension for ticket 06: it is the function that satisfies the project's own convention of reporting metrics as a distribution across studies, so 'kill' and 'wire it into Study.ipynb' are both defensible; audit 04 recorded the caller fact, not the preference.",studies/__init__[import],,,,,unreached,04
